State,Electoral Votes,Winner,Total Votes,Biden,Trump,Other,Dem COVID Deaths,Rep COVID Deaths,Adjusted Biden,Adjusted Trump Deaths,Adjusted Winner,Electoral Change
Alabama,9,T,2323282,849624,1441170," 32,488",1661,13285,847963,1427885,T,FALSE
Alaska,3,T,359530,153778,189951," 15,801",54,427,153724,189524,T,FALSE
Arizona,11,B,3397388,1672143,1661686," 63,559",2349,18800,1669794,1642886,B,FALSE
Arkansas,6,T,1219069,423932,760647," 34,490",971,7758,422961,752889,T,FALSE
California,55,B,17512260,11110639,6006518," 395,103",9599,76790,11101040,5929728,B,FALSE
Colorado,9,B,3256980,1804352,1364607," 88,021",980,7829,1803372,1356778,B,FALSE
Connecticut,7,B,1824456,1080831,715311," 28,314",1062,8502,1079769,706809,B,FALSE
Delaware,3,B,504346,296268,200603," 7,475",234,1857,296034,198746,B,FALSE
D. C.,3,B,344356,317323,18586," 8,447",0,0,317323,18586,B,FALSE
Florida,29,T,11091758,5297045,5668731," 125,982",5803,46422,5291242,5622309,T,FALSE
Georgia,16,B,4999960,2473633,2461854," 64,473",2672,21372,2470961,2440482,B,FALSE
Hawaii,4,B,574469,366130,196864," 11,475",82,651,366048,196213,B,FALSE
Idaho,4,T,870343,287021,554119," 29,203",299,2393,286722,551726,T,FALSE
Illinois,20,B,6049500,3471915,2446891," 130,694",3097,24766,3468818,2422125,B,FALSE
Indiana,11,T,3039432,1242498,1729857," 67,077",1820,14562,1240678,1715295,T,FALSE
Iowa,6,T,1690871,759061,897672," 34,138",796,6360,758265,891312,T,FALSE
Kansas,6,T,1377484,570323,771406," 35,755",709,5661,569614,765745,T,FALSE
Kentucky,8,T,2138009,772474,1326646," 38,889",1061,8505,771413,1318141,T,FALSE
Louisiana,8,T,2148062,856034,1255776," 36,252",1472,11763,854562,1244013,T,FALSE
Maine,4,B,819461,435072,360770," 23,619",128,1024,434944,359746,B,FALSE
Maryland,10,B,3037030,1985023,976414," 75,593",1433,11476,1983590,964938,B,FALSE
Massachusetts,11,B,3631402,2382202,1167202," 81,998",1718,13751,2380484,1153451,B,FALSE
Michigan,16,B,5547186,2804045,2649864," 93,277",2539,20304,2801506,2629560,B,FALSE
Minnesota,10,B,3277171,1717077,1484065," 76,029",991,7933,1716086,1476132,B,FALSE
Mississippi,6,T,1314475,539398,756764," 18,313",1201,9618,538197,747146,T,FALSE
Missouri,10,T,3030748,1253014,1718736," 58,998",1694,13548,1251320,1705188,T,FALSE
Montana,3,T,603674,244786,343602," 15,286",232,1866,244554,341736,T,FALSE
Nebraska,5,T,956383,374583,556846," 24,954",395,3157,374188,553689,T,FALSE
Nevada,6,B,1405376,703486,669890," 32,000",942,7543,702544,662347,B,FALSE
New Hampshire,4,B,806205,424937,365660," 15,608",164,1323,424773,364337,B,FALSE
New Jersey,14,B,4565196,2608400,1883313," 73,483",3390,27118,2605010,1856195,B,FALSE
New Mexico,5,B,923965,501614,401894," 20,457",630,5032,500984,396862,B,FALSE
New York,29,B,8632255,5244886,3251997," 135,372",3358,26858,5241528,3225139,B,FALSE
North Carolina,15,T,5524804,2684292,2758775," 81,737",2111,16885,2682181,2741890,T,FALSE
North Dakota,3,T,361819,114902,235595," 11,322",225,1801,114677,233794,T,FALSE
Ohio,18,T,5932446,2679165,3154834," 98,447",3001,23996,2676164,3130838,T,FALSE
Oklahoma,7,T,1560699,503890,1020280," 36,529",1240,9909,502650,1010371,T,FALSE
Oregon,7,B,2374321,1340383,958448," 75,490",407,3270,1339976,955178,B,FALSE
Pennsylvania,20,B,6940449,3461221,3379055," 100,173",3688,29494,3457533,3349561,B,FALSE
Rhode Island,4,B,517757,307486,199922," 10,349",337,2713,307149,197209,B,FALSE
South Carolina,9,T,2513329,1091541,1385103," 36,685",1392,11116,1090149,1373987,T,FALSE
South Dakota,3,T,422609,150471,261043," 11,095",272,2168,150199,258875,T,FALSE
Tennessee,11,T,3053851,1143711,1852475," 57,665",1956,15639,1141755,1836836,T,FALSE
Texas,38,T,11325286,5259126,5890347," 175,813",8615,68932,5250511,5821415,T,FALSE
Utah,6,T,1505931,560282,865140," 80,509",392,3127,559890,862013,T,FALSE
Vermont,3,B,367428,242820,112704," 11,904",28,235,242792,112469,B,FALSE
Virginia,13,B,4460524,2413568,1962430," 84,526",1522,12148,2412046,1950282,B,FALSE
Washington,12,B,4087631,2369612,1584651," 133,368",832,6666,2368780,1577985,B,FALSE
West Virginia,5,T,794731,235984,545382," 13,365",395,3155,235589,542227,T,FALSE
Wisconsin,10,B,3298041,1630866,1610184," 56,991",1080,8637,1629786,1601547,B,FALSE
Wyoming,3,T,276765,73491,193559," 9,715",97,778,73394,192781,T,FALSE
